Title,Year,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID,merge_title,Winner,_merge,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science_Fiction,Genre_TV_Movie,Genre_Thriller,Genre_War,Genre_Western,Nominee
Alien: Covenant,2017,6.163,9118,97000000,240891763,126889,alien: covenant,0,left_only,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0
Alien: Romulus,2024,7.175,4091,80000000,350865342,945961,alien: romulus,0,left_only,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
Alita: Battle Angel,2019,7.244,9669,170000000,405000000,399579,alita: battle angel,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
All Quiet on the Western Front,2022,7.7,4376,20000000,0,49046,all quiet on the western front,0,both,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,1
All the Bright Places,2020,7.637,2950,0,0,342470,all the bright places,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
Allegiant,2016,6.1,6800,110000000,179246868,262504,allegiant,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0
Allied,2016,6.8,4664,106000000,119520023,369885,allied,0,left_only,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0
Aloha,2015,5.514,2111,37000000,26250020,222936,aloha,0,left_only,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
Alpha,2018,6.525,2651,51000000,99630675,399360,alpha,0,left_only,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Ambulance,2022,6.636,2302,40000000,52303589,763285,ambulance,0,left_only,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
American Assassin,2017,6.411,3150,33000000,67200000,415842,american assassin,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
American Fiction,2023,7.283,1209,16000000,22483370,1056360,american fiction,0,both,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
